Timestep,Glucose,Insulin
331,105.20425,0.095280665
332,105.11685,0.095610136
333,105.02204,0.095957883
334,104.92183,0.096255586
335,104.81585,0.096566381
336,104.7062,0.09682226
337,104.59256,0.09708671
338,104.4771,0.097292113
339,104.35954,0.097502377
340,104.24206,0.097650336
341,104.12441,0.097800374
342,104.00873,0.097885822
343,103.89477,0.097971583
344,103.78462,0.097991513
345,103.67797,0.09801105
346,103.57685,0.097964592
347,103.48085,0.097918112
348,103.39193,0.097806541
349,103.30957,0.097696378
350,103.23559,0.09752306
351,103.16937,0.097353576
352,103.11259,0.097123835
353,103.06449,0.096901268
354,103.02659,0.096622198
355,102.998,0.096354439
356,102.98009,0.096034662
357,102.97178,0.095730994
358,102.97431,0.095380376
359,102.98644,0.095051165
360,103.00925,0.094680492
361,103.04135,0.094336859
362,103.08365,0.093957494
363,103.13462,0.093610956
364,103.19504,0.093234483
365,103.26322,0.092896597
366,103.33982,0.092534456
367,103.42303,0.092216458
368,103.51339,0.091879594
369,103.60899,0.091592053
370,103.71026,0.091290578
371,103.8152,0.09104307
372,103.92418,0.090785953
373,104.03514,0.09058677
374,104.1484,0.090381557
375,104.26186,0.090237446
376,104.3758,0.090090033
377,104.48812,0.090005989
378,104.59913,0.089920432
379,104.70672,0.089899539
380,104.81123,0.089877926
381,104.91062,0.08992126
382,105.00529,0.089963642
383,105.09326,0.090070227
384,105.17502,0.090174611
385,105.2487,0.090341452
386,105.31491,0.09050386
387,105.3719,0.090726027
388,105.42042,0.090940616
389,105.45884,0.091211399
390,105.48809,0.091470647
391,105.5067,0.091781768
392,105.51575,0.09207671
393,105.51395,0.092418592
394,105.50255,0.092739113
395,105.48042,0.093101185
396,105.44898,0.093436347
397,105.40729,0.093807396
398,105.35693,0.0941458
399,105.29709,0.094514337
400,105.22952,0.0948445
401,105.15357,0.09519914
402,105.0711,0.095509872
403,104.98158,0.095839715
404,104.88697,0.096120493
405,104.78687,0.09641548
406,104.68331,0.096656795
407,104.57593,0.09690804
408,104.46684,0.097101704
409,104.35572,0.097301785
410,104.24468,0.097441198
411,104.13343,0.097584392
